Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645be76207077cf9fa0325ef,5f51287698edeb30a0cf878d,APPROVED,2023-05-10T18:50:16.783000Z,2023-05-10T19:09:38.708000Z,2023-05-10T19:09:39.566000,2023-05-10T19:09:39.446000Z,1162,CJ5RNK30,1413,"English, Chinese",38,Male,Asian,China,United States,United States,Chinese,No,DATA_EXPIRED
645be78634dc8982eefe2c20,5f68dfc4f0b95a06e45d2fad,APPROVED,2023-05-10T18:53:02.050000Z,2023-05-10T20:05:37.342000Z,2023-05-10T20:05:38.519000,2023-05-10T20:05:38.384095Z,4356,C1ISGV6W,449,English,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be78897c01731516c1969,60fd080d5476f4a77211bafb,APPROVED,2023-05-10T18:51:56.194000Z,2023-05-10T19:15:46.497000Z,2023-05-10T19:15:50.557000,2023-05-10T19:15:50.604204Z,1431,CJ5RNK30,2263,English,34,Female,White,United States,United States,United States,English,No,Full-Time
645be78da88ced0e8849623e,631a68ee10ec68377cb03457,APPROVED,2023-05-10T18:51:17.118000Z,2023-05-10T19:34:09.605000Z,2023-05-10T19:34:10.621000,2023-05-10T19:34:10.475536Z,2573,C1ISGV6W,788,English,36,Male,White,United States,United States,United States,English,No,Full-Time
645be79a6f7292679bf91fdb,5f036ad6524fe7281a4ad892,APPROVED,2023-05-10T18:51:10.113000Z,2023-05-10T19:35:54.264000Z,2023-05-11T16:16:33.577000,2023-05-10T19:35:54.906166Z,2685,NOCODE,313,English,24,Male,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be79cfd9fc81a5154800f,5dd31871c5faa232d3c20365,APPROVED,2023-05-10T18:51:12.060000Z,2023-05-10T19:10:29.221000Z,2023-05-10T19:10:30.045000,2023-05-10T19:10:29.917948Z,1158,CJ5RNK30,1177,English,40,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be7ad1d38dfeaec921749,55c82012fdf99b02adc2a36e,APPROVED,2023-05-10T18:51:31.639000Z,2023-05-10T19:18:51.638000Z,2023-05-10T19:18:54.784000,2023-05-10T19:18:53.814385Z,1640,CJ5RNK30,957,English,39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
645be7bab622d9104f11ab2f,60902e88302a1bdd580019d6,APPROVED,2023-05-10T18:51:44.322000Z,2023-05-10T19:12:38.208000Z,2023-05-10T19:12:39.092000Z,2023-05-10T19:12:39.898346Z,1254,CJ5RNK30,632,English,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645be7da220f26e8536c1933,63eaa6adf989350fb6225d79,RETURNED,2023-05-10T18:53:58.741000Z,2023-05-10T19:12:22.783000Z,,2023-05-10T19:12:25.715000Z,,NOCODE,234,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
645be7e81ee78f074de1d1c1,63d3f9666978779139a949bb,APPROVED,2023-05-10T18:52:28.657000Z,2023-05-10T19:10:44.103000Z,2023-05-10T19:10:45.687000,2023-05-10T19:10:45.565254Z,1096,CJ5RNK30,566,English,31,Male,White,United States,United States,United States,English,No,Full-Time
